Location,Country,Category,Visitors,Rating,Revenue actual (usd),Accommodation_Available
Ryzxbbewxd,USA,Urban,972672,2.87,"$69,376,142,000.00",Yes
Nlqncueyqs,Egypt,Historical,577353,4.14,"$49,957,307,000.00",No
Fhhzrverrj,France,Cultural,573977,3.13,"$3,853,702,000.00",Yes
Bulvsubllp,France,Cultural,936742,1.43,"$59,371,227,000.00",No
Fccbmyhtht,Egypt,Cultural,781033,2.08,"$12,033,548,000.00",Yes
Dozpgjsrsh,USA,Beach,991595,1.26,"$22,063,707,000.00",No
Teyzbixuar,India,Historical,221705,2.65,"$60,024,335,000.00",No
Wnwxudhhvl,Australia,Nature,794097,3.28,"$66,839,124,000.00",Yes
Fwycxcxfqb,India,Beach,187436,3.77,"$15,070,386,000.00",Yes
Nbnizetnxw,Brazil,Nature,508404,2.32,"$37,357,592,000.00",No
Yxivodmiin,USA,Nature,371629,1.24,"$48,280,845,000.00",No
Pgmnzmxhtq,Australia,Cultural,502621,3.96,"$65,283,517,000.00",No
Fojajnlocs,Australia,Historical,524111,1.26,"$61,061,252,000.00",No
Nlcoojrezs,Egypt,Urban,760902,2.64,"$22,883,997,000.00",Yes
Qmtmziqmjg,India,Nature,559565,1.49,"$4,413,219,000.00",No
Krulkvvfzb,Brazil,Urban,922508,1.66,"$45,810,422,000.00",Yes
Sjztwdnfko,Australia,Urban,269165,1.96,"$37,788,217,000.00",Yes
Ptykcyxnko,India,Nature,631524,1.57,"$89,148,219,000.00",No
Dgrxyiiddp,Egypt,Nature,313747,3.75,"$40,031,815,000.00",Yes
Uktgielilz,India,Adventure,328506,4.51,"$82,220,952,000.00",No
Lmjszyfhkf,India,Adventure,273573,1.59,"$4,174,526,000.00",Yes
Sgxkskoriu,Brazil,Nature,622915,4.82,"$87,354,627,000.00",Yes
Uxoookbjms,India,Beach,89862,1.43,"$778,604,000.00",Yes
Cldodllrci,Egypt,Adventure,664855,1.26,"$38,537,636,000.00",Yes
Vulshvntba,China,Adventure,479617,4.30,"$26,227,171,000.00",No
Pxzdxizjvb,Egypt,Cultural,292135,4.56,"$875,567,000.00",No
Gnzbhcyuke,India,Urban,377601,2.05,"$90,781,409,000.00",No
Eqpxcqsgye,India,Historical,595512,1.23,"$49,237,173,000.00",No
Loigbsdeeb,Egypt,Cultural,100172,2.75,"$79,871,066,000.00",Yes
Afprabpfrd,Brazil,Historical,356822,2.57,"$24,544,375,000.00",No
Zbozscuixf,China,Historical,644192,1.06,"$62,897,822,000.00",No
Hdsjjafwtt,India,Cultural,274077,1.26,"$74,674,428,000.00",No
Gspkehmgzj,USA,Adventure,476407,1.08,"$88,567,426,000.00",Yes
Bnkgnnrjcj,USA,Nature,540016,1.56,"$2,410,295,000.00",Yes
Zjcobzorne,Australia,Beach,525217,2.53,"$85,694,692,000.00",Yes
Pnrxkeqaha,Australia,Urban,634457,2.00,"$53,211,843,000.00",Yes
Klzgqthruy,France,Urban,695606,2.43,"$18,522,773,000.00",No
Vrebefobdq,Australia,Beach,746077,1.66,"$78,038,763,000.00",No
Yhsljhalcq,Brazil,Historical,59834,1.67,"$8,778,394,000.00",No
Sptxhhriqc,India,Adventure,121964,4.07,"$38,607,506,000.00",No
Tixrptkfac,USA,Urban,271025,3.46,"$27,247,671,000.00",Yes
Ncnzffvwma,France,Urban,302201,1.74,"$66,576,395,000.00",Yes
Tsvotosike,Brazil,Cultural,850704,2.41,"$11,337,547,000.00",No
Iodcskmhcr,France,Nature,421019,3.53,"$7,543,441,000.00",Yes
Qkrvqejclz,India,Nature,923044,2.61,"$3,771,155,000.00",Yes
Decahoruig,Australia,Urban,179955,1.48,"$7,197,879,000.00",Yes
Uqnifdsbnm,Australia,Urban,237155,4.70,"$2,354,235,000.00",Yes
Bndoafwwyb,USA,Urban,655044,3.29,"$17,076,216,000.00",Yes
Hwsehncnwn,Egypt,Historical,905014,2.55,"$2,936,445,000.00",No
Unxzbetjwf,Australia,Nature,21339,2.74,"$16,412,919,000.00",Yes
Mqntrykkfm,India,Urban,715076,4.96,"$2,766,639,000.00",No
Fefaiitkms,Brazil,Beach,329970,2.78,"$92,408,804,000.00",No
Aatdzwfior,Brazil,Urban,437728,4.51,"$42,945,634,000.00",No
Rpggkpkfyl,India,Urban,504967,3.70,"$3,837,381,000.00",No
Kvlxuzjvwi,France,Historical,941490,3.66,"$43,188,282,000.00",No
Ojccgmshhr,USA,Nature,842343,3.12,"$56,502,043,000.00",Yes
Crpgpxwaxd,Brazil,Cultural,62070,4.40,"$71,729,905,000.00",Yes
Qkwbcjxrwn,France,Adventure,529874,1.13,"$14,337,224,000.00",Yes
Fzxgpzwtmv,China,Historical,304677,1.89,"$228,416,000.00",No
Ksvzqwklvr,Egypt,Cultural,31477,1.63,"$96,429,158,000.00",Yes
Ibyondymjc,Egypt,Urban,737033,3.83,"$45,941,954,000.00",Yes
Czqxxixpdl,China,Adventure,989311,3.12,"$55,016,677,000.00",No
Vlvsvgrlou,Egypt,Cultural,317010,2.97,"$64,037,961,000.00",No
Mimeyktjyu,France,Historical,376591,2.63,"$71,905,192,000.00",No
Ptbgwwgbkd,India,Beach,662343,3.74,"$76,574,877,000.00",Yes
Xigpkoqatz,Brazil,Urban,640357,3.79,"$59,320,916,000.00",Yes
Tvmsictnkp,Australia,Cultural,924032,1.14,"$1,018,123,000.00",No
Abrknayasz,Brazil,Urban,868130,4.22,"$1,272,026,000.00",Yes
Otqqfjpqib,Brazil,Historical,976378,2.14,"$91,696,745,000.00",No
Hjpgjxpsed,China,Historical,918379,4.53,"$44,178,966,000.00",Yes
Pzguptvfya,Australia,Historical,189000,1.50,"$22,943,367,000.00",Yes
Hfjuodmoya,China,Nature,818330,4.55,"$60,268,898,000.00",Yes
Banvmynrqu,India,Urban,465811,3.17,"$48,378,438,000.00",No
Ocdcpblmfl,Australia,Adventure,79526,4.62,"$7,534,061,000.00",No
Ffmttemxtz,France,Beach,104769,4.11,"$2,571,867,000.00",Yes
Qvajmwqrao,Egypt,Adventure,704737,4.65,"$4,987,659,000.00",No
Gnqtsxapcq,France,Historical,934701,2.40,"$9,002,028,000.00",No
Wleymuxcui,Brazil,Adventure,642471,2.02,"$93,652,304,000.00",No
Tqxlkbccud,China,Urban,947270,3.82,"$57,446,951,000.00",Yes
Tolxkkcdak,Brazil,Beach,710999,4.02,"$1,517,377,000.00",Yes
Yodkawzhxw,Egypt,Beach,390677,1.49,"$41,737,718,000.00",No
Tdjwllriou,India,Cultural,388599,1.14,"$60,874,501,000.00",No
Bspfyjskib,Australia,Nature,309798,2.79,"$28,981,957,000.00",No
Kufgnucxpl,China,Nature,643435,1.53,"$8,232,254,000.00",No
Fqydckmwgn,India,Adventure,215659,3.71,"$67,706,717,000.00",No
Hgjqabkfum,France,Beach,260943,3.71,"$53,168,216,000.00",Yes
Zhibvnxxsl,Egypt,Nature,395621,1.60,"$48,589,596,000.00",Yes
Zxhandpgeq,France,Nature,464793,2.54,"$41,300,904,000.00",Yes
Zavqmbcstw,France,Beach,45116,2.84,"$30,571,633,000.00",No
Jqncicdczx,China,Cultural,478900,4.83,"$51,695,626,000.00",No
Yberbixvbi,USA,Adventure,64525,5.00,"$17,502,397,000.00",Yes
Kylpvdwdxz,India,Beach,467210,3.96,"$2,947,561,000.00",Yes
Lnmkhaivlm,Brazil,Cultural,128466,3.15,"$45,815,479,000.00",Yes
Bfqnuounok,India,Beach,709912,4.90,"$75,961,935,000.00",Yes
Zgsiydfqfq,USA,Historical,804802,4.63,"$41,188,621,000.00",Yes
Tkrpdztxja,USA,Beach,227664,4.76,"$43,809,524,000.00",No
Eppkyjwjnu,France,Historical,579037,4.87,"$92,758,908,000.00",No
Qwzkbrnwwl,France,Urban,635931,2.78,"$69,822,465,000.00",Yes
Dweviwavao,France,Historical,744234,2.90,"$62,939,572,000.00",No
Nwatylqnun,Australia,Historical,674229,4.28,"$8,512,871,000.00",No
Igvefjkrpq,France,Adventure,710959,1.82,"$6,117,814,000.00",No
Kaohqjmfhz,USA,Adventure,886359,3.59,"$69,752,259,000.00",No
Fifuimqugm,USA,Urban,648396,1.02,"$51,714,686,000.00",Yes
Hncrzeegre,China,Beach,945660,4.62,"$26,073,804,000.00",No
Gbiciipzwg,India,Urban,35841,1.10,"$44,916,582,000.00",No
Arbotzfxbl,Brazil,Cultural,54283,4.02,"$58,700,867,000.00",Yes
Ifpqilcmrj,China,Historical,249823,3.32,"$85,648,716,000.00",Yes
Vpsgfbjbjf,Australia,Adventure,634816,4.03,"$55,496,959,000.00",No
Ucocnbugvf,Australia,Adventure,65004,1.84,"$90,578,311,000.00",Yes
Ansoethgwp,China,Historical,101347,3.80,"$25,947,401,000.00",No
Dfflfwhwxv,France,Historical,240815,3.40,"$38,551,723,000.00",No
Nctbicfamg,France,Historical,268308,4.80,"$51,501,807,000.00",Yes
Kxeqxkvmty,China,Beach,644450,4.04,"$60,384,261,000.00",No
Yxufwaoqhz,France,Urban,135450,1.96,"$32,459,031,000.00",Yes
Yprvtvaste,Egypt,Beach,283978,1.60,"$6,035,563,000.00",Yes
Xxaregseby,USA,Cultural,235547,2.11,"$97,299,461,000.00",Yes
Hyhyeidoic,Egypt,Urban,843933,3.91,"$37,362,806,000.00",Yes
Jwqbmvdbme,Brazil,Beach,138981,4.03,"$10,951,331,000.00",No
Syuwmjglsk,Australia,Beach,401188,4.17,"$51,444,422,000.00",No
Fsxosdpvbp,China,Nature,647476,1.87,"$19,833,186,000.00",No
Xvamzazemu,India,Historical,635839,4.16,"$66,952,784,000.00",Yes
Irwczazkbb,Brazil,Nature,729750,4.36,"$9,334,603,000.00",No
Bchducjcgs,Egypt,Historical,750191,2.75,"$77,776,576,000.00",Yes
Jkagenohsm,Australia,Adventure,468594,2.27,"$64,037,656,000.00",Yes
Benevvofch,China,Urban,674996,1.49,"$35,626,717,000.00",No
Qdgebwkcwh,Egypt,Cultural,19074,3.99,"$89,471,372,000.00",Yes
Qnqtfeqpig,Egypt,Beach,900329,2.86,"$3,283,464,000.00",No
Ocnpzeqryj,Egypt,Nature,28446,1.62,"$45,264,935,000.00",Yes
Iebaspyirj,Egypt,Urban,61366,4.66,"$74,871,236,000.00",Yes
Yhrdusenbb,Brazil,Adventure,299503,4.80,"$68,061,925,000.00",Yes
Sjwoxzascp,USA,Nature,137395,1.71,"$47,433,023,000.00",Yes
Bmlljdpwsl,France,Cultural,715420,4.76,"$19,262,948,000.00",No
Qcahopwlqo,India,Nature,268735,1.41,"$4,863,452,000.00",Yes
Hziulzfmfp,France,Adventure,742296,4.56,"$78,251,325,000.00",Yes
Cqjsgnuaak,China,Urban,454736,4.90,"$6,144,998,000.00",Yes
Wwubarkcjb,Egypt,Beach,315321,2.98,"$34,782,263,000.00",Yes
Myqfnbgwan,Australia,Nature,681019,2.42,"$52,684,714,000.00",No
Wvdiheazur,France,Beach,635223,1.35,"$65,716,544,000.00",No
Omvbbxkwjr,Australia,Cultural,38907,4.36,"$95,691,594,000.00",Yes
Dlcaolubtn,China,Urban,510351,1.04,"$86,824,185,000.00",Yes
Iqqnjhndoq,USA,Historical,801466,1.42,"$6,462,663,000.00",Yes
Sxmqcmvkou,Egypt,Beach,829456,1.84,"$69,195,153,000.00",No
Evscbytpwq,France,Nature,881753,3.66,"$5,436,123,000.00",No
Eqsvyjepll,India,Urban,617020,1.34,"$29,949,936,000.00",Yes
Xetadluwiy,France,Historical,518756,2.41,"$79,084,618,000.00",Yes
Oxfwwwtrlp,Australia,Nature,83308,1.17,"$28,167,737,000.00",Yes
Fdkfhpajmy,China,Nature,132189,1.51,"$55,312,349,000.00",No
Sqijdbfjhj,India,Adventure,772870,4.42,"$16,718,643,000.00",No
Llnplbsnzk,Australia,Cultural,294538,5.00,"$64,674,816,000.00",No
Iyzwsrqdzy,USA,Historical,828514,1.81,"$24,971,172,000.00",Yes
Dflwdgqksb,China,Nature,124757,1.01,"$40,506,104,000.00",No
Kmylgvecri,USA,Urban,426407,4.29,"$4,564,621,000.00",Yes
Tfdvjhkhqn,Australia,Historical,594428,3.19,"$34,652,343,000.00",No
Dfuknvtlby,India,Adventure,289192,2.03,"$73,203,308,000.00",Yes
Joysxeocop,France,Adventure,478337,1.84,"$93,926,711,000.00",No
Txltizyqnb,USA,Adventure,899083,1.08,"$48,356,247,000.00",No
Nqfifxdtmu,Australia,Historical,39401,4.63,"$65,409,293,000.00",No
Tperjlrphy,China,Urban,4069,3.50,"$98,062,166,000.00",No
Ffvzrqcfmp,Egypt,Nature,654274,1.27,"$35,207,069,000.00",Yes
Btpjaotvav,India,Nature,510922,3.45,"$6,991,048,000.00",Yes
Cwrzuxsiyq,Brazil,Adventure,925494,2.01,"$54,196,892,000.00",Yes
Cwtrivbacp,France,Urban,341402,4.48,"$58,929,269,000.00",No
Pntdpbgtjg,Egypt,Nature,38845,3.02,"$95,649,145,000.00",Yes
Bknyjpnway,USA,Beach,842983,1.77,"$85,731,512,000.00",No
Kkmittzeuz,China,Urban,511175,4.39,"$74,181,978,000.00",No
Azyaaswmvv,USA,Historical,717561,4.90,"$40,512,461,000.00",No
Yfnhzsdmyb,China,Urban,914904,2.65,"$3,788,596,000.00",No
Ffugeuesjr,France,Cultural,964638,1.95,"$55,189,863,000.00",No
Qanhkiarof,India,Urban,398547,4.23,"$31,726,471,000.00",No
Kyrjapbyvp,France,Beach,385685,2.48,"$82,326,322,000.00",No
Ecwxwzmcav,India,Cultural,850674,1.45,"$18,990,974,000.00",Yes
Uujiqeungf,China,Historical,578839,2.04,"$60,204,112,000.00",No
Ccbufooucb,Brazil,Beach,562912,2.55,"$1,570,197,000.00",Yes
Wpyvworbad,France,Nature,30700,1.56,"$20,527,303,000.00",No
Nephvqtaih,Australia,Adventure,593198,1.15,"$56,580,687,000.00",Yes
Ionwhhcvnb,India,Historical,196245,1.77,"$22,991,747,000.00",Yes
Wijqiekakd,Australia,Nature,788555,1.43,"$8,240,300,000.00",No
Hxutmkhtor,Egypt,Cultural,63198,4.23,"$14,269,376,000.00",Yes
Jugrrqezph,France,Nature,335507,4.85,"$9,497,959,000.00",No
Sviujhytbq,Australia,Cultural,141867,2.21,"$76,888,784,000.00",No
Vluhuaivyg,Egypt,Urban,752547,2.79,"$34,869,659,000.00",No
Cdujykpcyh,Egypt,Cultural,189360,4.38,"$53,973,712,000.00",Yes
Sznlxkpwcf,USA,Urban,552213,2.84,"$17,517,421,000.00",No
Zjhtimgvwk,Brazil,Urban,959961,3.99,"$50,438,851,000.00",Yes
Auewxrjmgl,Egypt,Cultural,618122,1.34,"$162,015,000.00",Yes
Vvwrtfsvnm,India,Adventure,241396,1.74,"$41,486,572,000.00",No
Nueprulmhh,Egypt,Nature,958142,3.31,"$64,709,865,000.00",Yes
Zswtybquzf,France,Adventure,245271,3.43,"$10,432,096,000.00",Yes
Jmvoxdiqre,Australia,Historical,181022,2.73,"$90,300,133,000.00",Yes
Xcrowrnxdc,Brazil,Adventure,291979,1.09,"$46,205,623,000.00",Yes
Yewwihrrsr,USA,Adventure,239152,1.78,"$7,492,914,000.00",No
Quphrkvvnq,France,Adventure,142944,3.72,"$2,350,965,000.00",No
Jqkedkeltb,India,Adventure,979614,3.45,"$59,699,974,000.00",No
Umeusprksg,India,Historical,956570,1.64,"$78,325,062,000.00",No
Xeazygnvlj,USA,Nature,714488,2.85,"$7,387,888,000.00",No
Hizzntkvam,France,Nature,388614,2.95,"$2,401,716,000.00",No
Diqvswqckm,Australia,Cultural,164889,3.12,"$6,266,403,000.00",Yes
Priopudrsn,India,Cultural,351518,2.00,"$25,871,656,000.00",Yes
Udcskomqiv,China,Cultural,246677,1.89,"$73,815,702,000.00",Yes
Ybagswzlmt,USA,Nature,73024,3.05,"$20,813,157,000.00",Yes
Ymtcplqgdv,France,Cultural,706139,4.90,"$78,489,632,000.00",No
Nriqcdlyfn,China,Cultural,159548,2.04,"$35,836,734,000.00",Yes
Spfbmkxhzu,Brazil,Beach,305342,4.54,"$5,064,177,000.00",Yes
Igxwezgpqo,Australia,Historical,369071,3.74,"$9,979,487,000.00",No
Howuphtuhz,USA,Historical,489256,3.55,"$79,156,466,000.00",Yes
Hqbehpcplu,Egypt,Cultural,893721,2.37,"$72,164,358,000.00",No
Osxviqnkgs,USA,Cultural,533693,3.31,"$64,989,549,000.00",No
Kqoyaxuutn,Brazil,Urban,694668,3.84,"$42,510,059,000.00",Yes
Ufxntwxzpe,France,Historical,491934,2.96,"$56,358,329,000.00",Yes
Kjwjbulmxq,Brazil,Cultural,744773,3.25,"$60,435,687,000.00",No
Zuoioagfyz,China,Adventure,834543,2.32,"$68,101,814,000.00",No
Bxwyuyabzf,China,Historical,989571,2.75,"$83,896,262,000.00",Yes
Qbiipsnigu,China,Nature,624560,2.78,"$57,069,467,000.00",Yes
Mypxiqjcui,Egypt,Historical,652720,4.90,"$1,759,292,000.00",Yes
Doxbwrpdte,China,Nature,590503,4.28,"$31,394,388,000.00",No
Bkzwlokuqz,USA,Beach,459783,2.56,"$15,181,229,000.00",No
Hclzyvhbsn,Australia,Historical,774585,4.08,"$17,157,509,000.00",Yes
Kcdkmpluuk,China,Cultural,957624,4.82,"$81,169,628,000.00",No
Cqujrvscyh,China,Historical,891063,2.42,"$54,495,753,000.00",Yes
Bqbbahwpmj,India,Urban,915757,2.47,"$92,586,222,000.00",No
Uumglspfsm,USA,Adventure,294941,3.44,"$99,519,475,000.00",No
Nogbqxhgwu,Brazil,Nature,413109,3.30,"$52,557,919,000.00",Yes
Qevwqnntor,Brazil,Cultural,275655,2.65,"$25,915,806,000.00",Yes
Jfipiqzldw,France,Cultural,618065,1.34,"$30,824,322,000.00",No
Uxgaubzrud,India,Beach,222826,2.25,"$65,370,574,000.00",Yes
Dbwmdtixan,France,Urban,49780,3.68,"$58,614,235,000.00",Yes
Ucvewisiox,India,Nature,390826,4.87,"$7,706,292,000.00",Yes
Ovkjafovvw,China,Urban,35202,1.69,"$5,541,326,000.00",Yes
Vdixqcmmzv,USA,Urban,421871,3.30,"$61,356,866,000.00",No
Npxihiltep,India,Historical,930818,1.54,"$37,939,401,000.00",Yes
Skmvzjekin,France,Cultural,375161,1.71,"$86,803,086,000.00",Yes
Cmkhoywkwk,USA,Nature,669344,1.06,"$7,425,933,000.00",Yes
Ieavnfjrkz,India,Cultural,63632,3.87,"$40,191,122,000.00",No
Zestsblbyl,Egypt,Adventure,335750,3.37,"$24,068,236,000.00",No
Aoqpnfjjnh,Egypt,Historical,806608,4.24,"$5,179,181,000.00",Yes
Njovfduwsh,France,Adventure,363491,1.31,"$72,720,017,000.00",Yes
Gldqscyvpp,Australia,Beach,592562,2.64,"$34,186,042,000.00",No
Psmbsywgro,India,Beach,599498,1.49,"$98,278,607,000.00",Yes
Guevnjjlde,Brazil,Nature,316283,4.43,"$80,962,027,000.00",Yes
Pabzwjfjgv,India,Nature,790571,2.97,"$52,867,444,000.00",Yes
Jgqezkphbn,France,Nature,923456,4.84,"$91,958,793,000.00",Yes
Sgjsetwchi,Australia,Cultural,990708,3.43,"$12,547,222,000.00",Yes
Pbthaezreh,China,Nature,555737,4.58,"$92,957,319,000.00",No
Sinbbkuavl,USA,Beach,218497,3.56,"$94,911,252,000.00",No
Vjstatmvvu,Australia,Urban,860306,3.12,"$21,692,158,000.00",Yes
Palpyzcsut,China,Historical,794755,2.50,"$5,649,373,000.00",Yes
Wvagfolrfb,India,Nature,752292,3.21,"$1,398,628,000.00",No
Xtlifmdzgj,Australia,Nature,768901,1.64,"$53,274,289,000.00",No
Pftwkdytgs,India,Historical,754130,3.65,"$39,878,594,000.00",No
Kplapltlaw,Australia,Cultural,706566,3.55,"$28,868,645,000.00",No
Asyzmgfegz,France,Beach,490651,1.01,"$49,923,478,000.00",Yes
Gjppjuonaj,Brazil,Cultural,990036,1.34,"$61,098,204,000.00",Yes
Qbyubfbukk,Brazil,Urban,646768,3.66,"$67,612,465,000.00",No
Ffuwhetnej,France,Urban,366427,2.74,"$27,523,869,000.00",No
Ptabazcyjd,Brazil,Historical,582427,3.66,"$6,659,835,000.00",Yes
Wupiirwoku,Australia,Cultural,470893,4.46,"$74,271,289,000.00",No
Wudxnhgthr,USA,Beach,428618,4.43,"$48,486,942,000.00",Yes
Brrwehailu,Brazil,Nature,63793,2.05,"$273,101,000.00",No
Ypawmuhkkb,China,Adventure,401203,1.94,"$77,034,791,000.00",No
Uynhtrwojk,India,Adventure,988828,4.49,"$44,965,863,000.00",Yes
Pgjimoettg,France,Urban,552020,2.30,"$34,216,325,000.00",No
Qaybgftvba,Australia,Historical,306140,1.45,"$4,964,861,000.00",No
Ibgnwdlztt,Egypt,Urban,58131,3.39,"$80,018,456,000.00",Yes
Tggfgbmlfr,Australia,Beach,108445,4.49,"$64,442,286,000.00",Yes
Cuehoxnrax,Brazil,Nature,827083,1.79,"$85,786,501,000.00",No
Dtgijsskcp,China,Cultural,438826,2.20,"$6,931,332,000.00",Yes
Olpkjoebxi,India,Cultural,538728,3.63,"$6,346,939,000.00",Yes
Bwhplzzihf,China,Adventure,456878,2.19,"$93,421,738,000.00",Yes
Listnhlbza,France,Nature,210419,4.85,"$33,289,773,000.00",Yes
Byfwtdiiiy,Brazil,Cultural,218773,4.77,"$8,444,944,000.00",No
Kswrulhrmb,USA,Nature,423440,1.90,"$12,831,171,000.00",No
Rxjjkxjpsn,India,Adventure,4131,1.76,"$58,384,972,000.00",Yes
Fgplvyuuce,France,Beach,273609,4.68,"$27,582,763,000.00",Yes
Taueukissp,Brazil,Beach,214461,1.47,"$45,381,619,000.00",Yes
Mkwgilbbyg,Brazil,Urban,766567,1.14,"$35,760,059,000.00",Yes
Iojzwgthdz,Brazil,Beach,285562,1.71,"$49,465,169,000.00",Yes
Ksqutaorvz,China,Nature,751371,1.90,"$61,468,639,000.00",No
Odhhtqzqgw,France,Urban,919788,1.59,"$49,703,782,000.00",No
Tdlwvpjdan,Egypt,Nature,304098,2.08,"$41,015,038,000.00",No
Norupsozjh,India,Adventure,283084,4.10,"$84,565,085,000.00",Yes
Lrxnpftybp,China,Adventure,923127,4.75,"$35,608,565,000.00",Yes
Onpmhdwxte,Brazil,Beach,236775,4.75,"$10,274,565,000.00",No
Xjsttdnbkm,France,Urban,323019,3.02,"$28,052,141,000.00",Yes
Abqinmxwik,France,Nature,340289,1.93,"$35,683,616,000.00",Yes
Clqoxsdusq,Egypt,Historical,762333,2.51,"$49,812,386,000.00",No
Rxksixkrhb,Australia,Beach,341047,4.49,"$15,066,366,000.00",Yes
Pmfifufgpi,USA,Urban,79331,4.61,"$27,664,906,000.00",No
Vhpgtwslom,France,Cultural,83442,1.75,"$8,057,964,000.00",No
Ebllokbuhy,USA,Historical,656124,2.33,"$35,295,395,000.00",No
Flfkvkfqyc,Australia,Nature,403458,1.92,"$65,466,512,000.00",Yes
Xcjgsnheza,Australia,Beach,119207,3.70,"$2,489,980,000.00",Yes
Zpmjmeplkk,China,Adventure,324431,1.93,"$38,078,918,000.00",No
Zsepbhwgvf,India,Cultural,96596,1.53,"$97,295,874,000.00",No
Cbuuwnhwzx,China,Urban,271042,3.56,"$64,860,821,000.00",Yes
Awcpavldxl,Australia,Historical,907915,1.08,"$93,207,875,000.00",No
Ehalbvtgxz,China,Urban,43558,3.62,"$69,938,264,000.00",Yes
Zmcqcwrerj,France,Beach,590596,3.67,"$30,855,376,000.00",Yes
Pxozodvqwp,Australia,Cultural,644860,4.72,"$44,356,308,000.00",No
Ujjamvslvm,USA,Adventure,625962,2.19,"$18,298,753,000.00",No
Ehggxljhhu,India,Adventure,941131,4.47,"$5,539,258,000.00",No
Hssvdayddo,India,Historical,761387,4.58,"$2,819,625,000.00",Yes
Jmyodmftkj,USA,Urban,308512,2.64,"$57,708,808,000.00",No
Rhbjctmxoc,France,Cultural,215220,4.51,"$34,900,762,000.00",No
Brvnzanfjy,Brazil,Beach,223477,3.89,"$88,113,964,000.00",No
Pcbfnrwhlh,India,Historical,564167,3.66,"$77,122,394,000.00",No
Qwwbnpxcos,USA,Historical,272860,2.47,"$60,264,324,000.00",Yes
Kdrbdugtkb,China,Nature,115138,3.89,"$50,919,212,000.00",No
Hyjqssrcxf,Egypt,Adventure,987445,4.98,"$2,181,425,000.00",No
Gcwrrjshgy,China,Cultural,470179,1.64,"$9,000,939,000.00",Yes
Nofiaxxhdh,Brazil,Urban,734191,2.63,"$63,094,495,000.00",Yes
Pdowxopyzx,Australia,Adventure,946985,1.67,"$34,988,401,000.00",No
Vztnywddns,India,Adventure,639260,3.86,"$39,799,591,000.00",No
Pzfeozngri,USA,Cultural,425976,4.12,"$4,323,578,000.00",Yes
Rbulsfrfoy,France,Cultural,38787,2.66,"$71,404,273,000.00",No
Iqsdowmbsu,Egypt,Nature,439635,1.41,"$10,475,614,000.00",No
Pqpnrzosyj,France,Cultural,633440,3.50,"$66,996,627,000.00",Yes
Xzlwofajed,India,Nature,383630,4.55,"$86,973,659,000.00",No
Grpsmekrjw,USA,Urban,177684,1.94,"$13,370,471,000.00",No
Hckicccsot,India,Adventure,412777,4.57,"$24,417,518,000.00",No
Knjdjbjzii,USA,Urban,40897,3.78,"$61,016,244,000.00",Yes
Rjblsknltb,Australia,Adventure,388059,1.79,"$2,609,833,000.00",No
Cbnodfcfqa,India,Historical,815413,3.45,"$19,679,666,000.00",Yes
Ibkilkymwe,France,Historical,339298,2.28,"$42,114,096,000.00",Yes
Goofdufsdr,India,Cultural,814963,4.47,"$8,463,482,000.00",No
Beoddvghvi,France,Historical,847379,2.48,"$55,602,196,000.00",No
Ogbvdcqucw,Brazil,Nature,721873,3.50,"$55,762,107,000.00",Yes
Udjxzqjyrn,China,Historical,545792,4.95,"$21,573,654,000.00",No
Xpfmcnapwf,Egypt,Urban,385790,4.81,"$33,355,886,000.00",Yes
Uykrjjgopu,China,Cultural,950927,1.25,"$83,835,186,000.00",Yes
Lgmilziglq,India,Adventure,978537,2.03,"$575,827,000.00",No
Tgdupsmhlu,India,Adventure,301083,4.44,"$42,029,718,000.00",Yes
Ijwoadvipq,Egypt,Historical,786143,1.49,"$26,814,771,000.00",Yes
Uqkwhgsulw,China,Adventure,544591,1.51,"$89,367,687,000.00",No
Tvfvcthxhr,India,Nature,615649,2.60,"$6,706,832,000.00",Yes
Lhkmgovttu,Egypt,Adventure,715560,4.35,"$45,743,114,000.00",No
Uebgzeasfh,Australia,Nature,302205,4.61,"$98,994,237,000.00",Yes
Nqaqdrjzyl,China,Urban,96502,2.91,"$39,580,528,000.00",Yes
Ppouuljrdc,Brazil,Urban,251537,3.21,"$6,302,715,000.00",No
Zcoebajrom,China,Adventure,412550,1.26,"$19,110,003,000.00",No
Vvquttwuxk,China,Adventure,514348,2.14,"$73,400,522,000.00",Yes
Plglfgjlqc,Brazil,Beach,578293,3.97,"$79,801,093,000.00",No
Asoombbbks,Australia,Beach,902044,2.94,"$67,588,761,000.00",No
Nuztxrespu,Brazil,Nature,562863,3.87,"$46,170,703,000.00",Yes
Zdiosxdrxh,France,Cultural,64089,2.60,"$4,578,976,000.00",No
Itoysqkofh,Brazil,Urban,551582,3.05,"$48,845,603,000.00",Yes
Vtdonlzwzj,Egypt,Cultural,456381,4.61,"$9,211,511,000.00",No
Hyirnbllrg,India,Beach,370082,2.29,"$4,485,504,000.00",No
Cnuvuwriyg,India,Urban,126414,3.96,"$75,515,399,000.00",Yes
Dkwyhpffgy,Egypt,Historical,828800,3.43,"$70,769,535,000.00",No
Ozyeybkdoz,India,Adventure,371222,1.02,"$67,594,743,000.00",No
Fbwznpfref,Brazil,Nature,880482,2.95,"$42,105,884,000.00",No
Utvkrslubs,Brazil,Urban,50608,2.45,"$57,884,051,000.00",No
Cqhypteakn,USA,Adventure,803638,1.01,"$2,527,972,000.00",No
